Dont_Be_Inside_Root_Chest
BulletPower,500
BulletSpeed,0.1
Acceleration,0.5f
resistance,0.9f
ReloadTime,-1
RemainingBullet,1
lookDown,90
isOneuse,true
Explosion,2.5f
BlockDestory,true
Texture,9K114
ObjModel,9K114.mqo
ObjTexture,9K114.png
ModelScala,0.5f
GunSound,handmadeguns.null,handmadeguns.null
GunSoundReload,handmadeguns.null
Weight,31.4
seekerSize,10
BulletNameALL,S-5

lockSound_entity,handmadeguns:handmadeguns.missileLockOn
lockSound_NoStop,true

Induction_precision,10
Canlock,true
lock_to_Vehicle,true
lockOn_MaxSpeed,0.16

NeedFix,true



Tabname,VehicleWeapons
Name,9K114
RR,9K114
